EntrezGene ID	GO ID
27	GO:0007165
27	GO:0007411
27	GO:0016740
27	GO:0018108
27	GO:0030145
27	GO:0051353
28	GO:0004380
28	GO:0004381
28	GO:0005576
28	GO:0005794
28	GO:0005975
28	GO:0006486
28	GO:0016020
28	GO:0016021
28	GO:0016758
28	GO:0030173
28	GO:0032580
28	GO:0046872
29	GO:0005085
29	GO:0005089
29	GO:0005096
29	GO:0005515
29	GO:0005622
29	GO:0005829
29	GO:0005829
29	GO:0006915
29	GO:0007264
29	GO:0008624
29	GO:0035023
29	GO:0048011
29	GO:0051056
30	GO:0003988
30	GO:0005515
30	GO:0005777
30	GO:0005782
30	GO:0006091
30	GO:0006631
30	GO:0008415
30	GO:0016740
30	GO:0033540
30	GO:0043231
30	GO:0044255
31	GO:0000166
31	GO:0003989
31	GO:0003989
31	GO:0004075
31	GO:0005515
31	GO:0005524
31	GO:0005625
31	GO:0005737
31	GO:0005829
31	GO:0005829
31	GO:0006084
31	GO:0006112
31	GO:0006633
31	GO:0009374
31	GO:0014070
31	GO:0016874
31	GO:0019432
31	GO:0031325
31	GO:0035338
31	GO:0042493
31	GO:0044255
31	GO:0046872
31	GO:0051289
32	GO:0000166
32	GO:0003989
32	GO:0003989
32	GO:0004075
32	GO:0005515
32	GO:0005524
32	GO:0005737
32	GO:0005794
32	GO:0005829
32	GO:0005829
32	GO:0006084
32	GO:0006112
32	GO:0006633
32	GO:0006853
32	GO:0012505
32	GO:0016020
32	GO:0016874
32	GO:0031325
32	GO:0044255
32	GO:0046320
32	GO:0046872
32	GO:0051289
33	GO:0000062
33	GO:0001659
33	GO:0003995
33	GO:0004466
33	GO:0005737
33	GO:0005739
33	GO:0005759
33	GO:0006631
33	GO:0006635
33	GO:0016401
33	GO:0019254
33	GO:0031966
33	GO:0033539
33	GO:0042413
33	GO:0042758
33	GO:0044242
33	GO:0044255
33	GO:0045717
33	GO:0046322
33	GO:0050660
33	GO:0051289
33	GO:0055114
33	GO:0090181
34	GO:0003995
34	GO:0003995
34	GO:0003995
34	GO:0005739
34	GO:0005759
34	GO:0006635
34	GO:0006635
34	GO:0019254
34	GO:0033539
34	GO:0033539
34	GO:0042802
34	GO:0044255
34	GO:0045329
34	GO:0050660
34	GO:0051791
34	GO:0051793
34	GO:0055114
34	GO:0070991
35	GO:0000062
35	GO:0003995
35	GO:0004085
35	GO:0005739
35	GO:0005759
35	GO:0006631
35	GO:0006635
35	GO:0033539
35	GO:0042594
35	GO:0044255
35	GO:0046359
35	GO:0050660
35	GO:0051289
35	GO:0051384
35	GO:0055114
36	GO:0003995
36	GO:0005739
36	GO:0005759
36	GO:0006629
36	GO:0006631
36	GO:0009083
36	GO:0034641
36	GO:0050660
36	GO:0055114
37	GO:0000062
