ID	SystemCode	MAPP
5879	L	IL-5 Signaling Pathway:WP127
3568	L	IL-5 Signaling Pathway:WP127
695	L	IL-5 Signaling Pathway:WP127
9611	L	Ovarian Infertility Genes:WP34
4088	L	Ovarian Infertility Genes:WP34
6609	L	Ovarian Infertility Genes:WP34
4439	L	Ovarian Infertility Genes:WP34
23224	L	Ovarian Infertility Genes:WP34
1051	L	Ovarian Infertility Genes:WP34
1588	L	Ovarian Infertility Genes:WP34
1618	L	Ovarian Infertility Genes:WP34
1958	L	Ovarian Infertility Genes:WP34
3973	L	Ovarian Infertility Genes:WP34
1019	L	Ovarian Infertility Genes:WP34
2661	L	Ovarian Infertility Genes:WP34
3623	L	Ovarian Infertility Genes:WP34
658	L	Ovarian Infertility Genes:WP34
894	L	Ovarian Infertility Genes:WP34
8204	L	Ovarian Infertility Genes:WP34
2701	L	Ovarian Infertility Genes:WP34
11144	L	Ovarian Infertility Genes:WP34
5732	L	Ovarian Infertility Genes:WP34
7784	L	Ovarian Infertility Genes:WP34
7783	L	Ovarian Infertility Genes:WP34
5618	L	Ovarian Infertility Genes:WP34
2492	L	Ovarian Infertility Genes:WP34
5241	L	Ovarian Infertility Genes:WP34
4292	L	Ovarian Infertility Genes:WP34
472	L	Ovarian Infertility Genes:WP34
7421	L	Ovarian Infertility Genes:WP34
2516	L	Ovarian Infertility Genes:WP34
2100	L	Ovarian Infertility Genes:WP34
1027	L	Ovarian Infertility Genes:WP34
4261	L	Type II interferon signaling (IFNG):WP619
3717	L	Type II interferon signaling (IFNG):WP619
3716	L	Type II interferon signaling (IFNG):WP619
2633	L	Type II interferon signaling (IFNG):WP619
6890	L	Type II interferon signaling (IFNG):WP619
3659	L	Type II interferon signaling (IFNG):WP619
9636	L	Type II interferon signaling (IFNG):WP619
4283	L	Type II interferon signaling (IFNG):WP619
3456	L	Type II interferon signaling (IFNG):WP619
3383	L	Type II interferon signaling (IFNG):WP619
5580	L	Type II interferon signaling (IFNG):WP619
3458	L	Type II interferon signaling (IFNG):WP619
3459	L	Type II interferon signaling (IFNG):WP619
6688	L	Type II interferon signaling (IFNG):WP619
5781	L	Type II interferon signaling (IFNG):WP619
8651	L	Type II interferon signaling (IFNG):WP619
3106	L	Type II interferon signaling (IFNG):WP619
3433	L	Type II interferon signaling (IFNG):WP619
4843	L	Type II interferon signaling (IFNG):WP619
3660	L	Type II interferon signaling (IFNG):WP619
8370	L	Type II interferon signaling (IFNG):WP619
3662	L	Type II interferon signaling (IFNG):WP619
3627	L	Type II interferon signaling (IFNG):WP619
10379	L	Type II interferon signaling (IFNG):WP619
3553	L	Type II interferon signaling (IFNG):WP619
9021	L	Type II interferon signaling (IFNG):WP619
3394	L	Type II interferon signaling (IFNG):WP619
3460	L	Type II interferon signaling (IFNG):WP619
4938	L	Type II interferon signaling (IFNG):WP619
5610	L	Type II interferon signaling (IFNG):WP619
3440	L	Type II interferon signaling (IFNG):WP619
6772	L	Type II interferon signaling (IFNG):WP619
6773	L	Type II interferon signaling (IFNG):WP619
1536	L	Type II interferon signaling (IFNG):WP619
5698	L	Type II interferon signaling (IFNG):WP619
5967	L	Type II interferon signaling (IFNG):WP619
2537	L	Type II interferon signaling (IFNG):WP619
5170	L	Insulin Signaling:WP481
50488	L	Insulin Signaling:WP481
6722	L	Insulin Signaling:WP481
8986	L	Insulin Signaling:WP481
10211	L	Insulin Signaling:WP481
7249	L	Insulin Signaling:WP481
5506	L	Insulin Signaling:WP481
6517	L	Insulin Signaling:WP481
5584	L	Insulin Signaling:WP481
3799	L	Insulin Signaling:WP481
5583	L	Insulin Signaling:WP481
5580	L	Insulin Signaling:WP481
25759	L	Insulin Signaling:WP481
8471	L	Insulin Signaling:WP481
5588	L	Insulin Signaling:WP481
6009	L	Insulin Signaling:WP481
10580	L	Insulin Signaling:WP481
8491	L	Insulin Signaling:WP481
10110	L	Insulin Signaling:WP481
8651	L	Insulin Signaling:WP481
10746	L	Insulin Signaling:WP481
3991	L	Insulin Signaling:WP481
11183	L	Insulin Signaling:WP481
9064	L	Insulin Signaling:WP481
11184	L	Insulin Signaling:WP481
3480	L	Insulin Signaling:WP481
6446	L	Insulin Signaling:WP481
9175	L	Insulin Signaling:WP481
3643	L	Insulin Signaling:WP481
1958	L	Insulin Signaling:WP481
6844	L	Insulin Signaling:WP481
2998	L	Insulin Signaling:WP481
5590	L	Insulin Signaling:WP481
5595	L	Insulin Signaling:WP481
5594	L	Insulin Signaling:WP481
5597	L	Insulin Signaling:WP481
2319	L	Insulin Signaling:WP481
5599	L	Insulin Signaling:WP481
5598	L	Insulin Signaling:WP481
6655	L	Insulin Signaling:WP481
4641	L	Insulin Signaling:WP481
2997	L	Insulin Signaling:WP481
375	L	Insulin Signaling:WP481
2992	L	Insulin Signaling:WP481
2475	L	Insulin Signaling:WP481
6654	L	Insulin Signaling:WP481
1326	L	Insulin Signaling:WP481
9265	L	Insulin Signaling:WP481
23678	L	Insulin Signaling:WP481
4217	L	Insulin Signaling:WP481
5605	L	Insulin Signaling:WP481
5604	L	Insulin Signaling:WP481
5607	L	Insulin Signaling:WP481
5606	L	Insulin Signaling:WP481
5601	L	Insulin Signaling:WP481
5600	L	Insulin Signaling:WP481
5603	L	Insulin Signaling:WP481
5602	L	Insulin Signaling:WP481
5609	L	Insulin Signaling:WP481
5608	L	Insulin Signaling:WP481
2309	L	Insulin Signaling:WP481
2308	L	Insulin Signaling:WP481
2549	L	Insulin Signaling:WP481
6513	L	Insulin Signaling:WP481
5562	L	Insulin Signaling:WP481
7248	L	Insulin Signaling:WP481
10603	L	Insulin Signaling:WP481
1398	L	Insulin Signaling:WP481
5596	L	Insulin Signaling:WP481
6300	L	Insulin Signaling:WP481
5967	L	Insulin Signaling:WP481
4215	L	Insulin Signaling:WP481
4214	L	Insulin Signaling:WP481
3667	L	Insulin Signaling:WP481
4216	L	Insulin Signaling:WP481
30846	L	Insulin Signaling:WP481
2932	L	Insulin Signaling:WP481
30849	L	Insulin Signaling:WP481
9252	L	Insulin Signaling:WP481
