Ensembl ID	DBASS5 ID
ENSG00000166863	160
ENSG00000166947	41
ENSG00000167165	157
ENSG00000167711	147
ENSG00000167941	150
ENSG00000168434	151
ENSG00000168542	30
ENSG00000169057	180
ENSG00000169057	81
ENSG00000169083	5
ENSG00000169083	9
ENSG00000169297	206
ENSG00000169814	16
ENSG00000169919	79
ENSG00000170180	58
ENSG00000170266	141
ENSG00000170927	231
ENSG00000171100	84
ENSG00000171105	65
ENSG00000171105	95
ENSG00000171298	51
ENSG00000171298	69
ENSG00000171557	209
ENSG00000171560	65
ENSG00000171564	48
ENSG00000171564	66
ENSG00000171759	93
ENSG00000171862	136
ENSG00000172893	38
ENSG00000174886	226
ENSG00000175054	9
ENSG00000175198	198
ENSG00000175445	108
ENSG00000176387	175
ENSG00000177000	115
ENSG00000177189	106
ENSG00000177628	52
ENSG00000177628	72
ENSG00000180176	120
ENSG00000180398	110
ENSG00000182197	208
ENSG00000182533	17
ENSG00000183873	144
ENSG00000184500	134
ENSG00000184634	91
ENSG00000184937	164
ENSG00000185010	44
ENSG00000185010	58
ENSG00000185339	154
ENSG00000185920	101
ENSG00000185920	236
ENSG00000186081	100
ENSG00000186847	102
ENSG00000186847	72
ENSG00000187010	238
ENSG00000187741	46
ENSG00000187741	62
ENSG00000188153	137
ENSG00000188153	31
ENSG00000188536	82
ENSG00000188603	25
ENSG00000188641	47
ENSG00000188672	186
ENSG00000188706	192
ENSG00000196218	142
ENSG00000196352	36
ENSG00000196459	241
ENSG00000196569	74
ENSG00000196586	224
ENSG00000196712	118
ENSG00000196712	87
ENSG00000196839	2
ENSG00000196839	4
ENSG00000196878	177
ENSG00000196924	67
ENSG00000197249	146
ENSG00000197561	51
ENSG00000198400	88
ENSG00000198457	35
ENSG00000198670	107
ENSG00000198691	2
ENSG00000198707	22
ENSG00000198734	153
ENSG00000198734	56
ENSG00000198836	228
ENSG00000198910	103
ENSG00000198947	39
ENSG00000198947	46
ENSG00000204217	194
ENSG00000204290	14
ENSG00000204414	36
ENSG00000206172	81
ENSG00000206290	26
ENSG00000206561	35
ENSG00000211893	93
ENSG00000213614	84
ENSG00000213930	71
ENSG00000214160	4
ENSG00000221829	63
ENSG00000224389	203
ENSG00000225190	185
ENSG00000241635	127
ENSG00000244734	59
ENSG00000248098	201
ENSG00000250361	56
ENSG00000251322	242
