Ensembl ID	miRBase ID
ENSG00000199150	MI0000433
ENSG00000199151	MI0000806
ENSG00000199153	MI0000255
ENSG00000199156	MI0001444
ENSG00000199157	MI0000251
ENSG00000199158	MI0000098
ENSG00000199161	MI0000471
ENSG00000199165	MI0000060
ENSG00000199168	MI0000782
ENSG00000199169	MI0000775
ENSG00000199172	MI0000812
ENSG00000199177	MI0000089
ENSG00000199179	MI0000434
ENSG00000199180	MI0000072
ENSG00000199187	MI0000769
ENSG00000202560	MI0003514
ENSG00000202566	MI0003685
ENSG00000202569	MI0003129
ENSG00000202601	MI0003589
ENSG00000202609	MI0003123
ENSG00000202641	MI0002468
ENSG00000207546	MI0003630
ENSG00000207547	MI0000082
ENSG00000207548	MI0000293
ENSG00000207549	MI0003163
ENSG00000207550	MI0000746
ENSG00000207551	MI0003621
ENSG00000207552	MI0003648
ENSG00000207553	MI0003159
ENSG00000207554	MI0003662
ENSG00000207555	MI0003146
ENSG00000207556	MI0003651
ENSG00000207558	MI0002471
ENSG00000207559	MI0003585
ENSG00000207560	MI0000074
ENSG00000207561	MI0003650
ENSG00000207562	MI0000743
ENSG00000207563	MI0000439
ENSG00000207567	MI0000458
ENSG00000207568	MI0000283
ENSG00000207569	MI0001723
ENSG00000207570	MI0000467
ENSG00000207571	MI0003628
ENSG00000207572	MI0000764
ENSG00000207573	MI0003601
ENSG00000207574	MI0003669
ENSG00000207575	MI0003664
ENSG00000207577	MI0003595
ENSG00000207578	MI0003590
ENSG00000207579	MI0003670
ENSG00000207580	MI0003150
ENSG00000207581	MI0000282
ENSG00000207582	MI0000441
ENSG00000207583	MI0003619
ENSG00000207584	MI0001150
ENSG00000207585	MI0003139
ENSG00000207586	MI0000453
ENSG00000207587	MI0003515
ENSG00000207588	MI0003605
ENSG00000207589	MI0003195
ENSG00000207590	MI0000291
ENSG00000207594	MI0003149
ENSG00000207595	MI0000269
ENSG00000207596	MI0000732
ENSG00000207597	MI0003125
ENSG00000207598	MI0000445
ENSG00000207599	MI0003143
ENSG00000207600	MI0003610
ENSG00000207601	MI0003624
ENSG00000207602	MI0000113
ENSG00000207603	MI0000263
ENSG00000207604	MI0000490
ENSG00000207605	MI0000465
ENSG00000207606	MI0003559
ENSG00000207607	MI0000737
ENSG00000207608	MI0000472
ENSG00000207609	MI0003126
ENSG00000207610	MI0000073
ENSG00000207611	MI0000478
ENSG00000207612	MI0003617
ENSG00000207613	MI0000271
ENSG00000207614	MI0000487
ENSG00000207615	MI0003144
ENSG00000207615	MI0003147
ENSG00000207616	MI0003144
ENSG00000207616	MI0003147
ENSG00000207617	MI0000080
ENSG00000207618	MI0000460
ENSG00000207619	MI0003592
ENSG00000207620	MI0003181
ENSG00000207621	MI0000301
ENSG00000207622	MI0003633
ENSG00000207623	MI0000285
ENSG00000207624	MI0000488
ENSG00000207625	MI0000727
ENSG00000207626	MI0003568
ENSG00000207627	MI0003588
ENSG00000207628	MI0003666
ENSG00000207629	MI0003157
ENSG00000207630	MI0000265
ENSG00000207631	MI0003656
ENSG00000207632	MI0003597
ENSG00000207633	MI0003190
ENSG00000207634	MI0003176
ENSG00000207635	MI0003183
ENSG00000207636	MI0003645
ENSG00000207637	MI0003607
ENSG00000207638	MI0000101
ENSG00000207639	MI0003137
ENSG00000207641	MI0003197
ENSG00000207642	MI0003578
ENSG00000207644	MI0003140
ENSG00000207644	MI0003141
ENSG00000207645	MI0003140
ENSG00000207645	MI0003141
ENSG00000207646	MI0003677
ENSG00000207647	MI0000463
ENSG00000207648	MI0000234
ENSG00000207649	MI0000455
ENSG00000207650	MI0003577
ENSG00000207651	MI0000086
ENSG00000207652	MI0003635
ENSG00000207653	MI0003564
ENSG00000207654	MI0000447
ENSG00000207655	MI0000297
ENSG00000207656	MI0003124
ENSG00000207688	MI0003671
ENSG00000207689	MI0003598
ENSG00000207690	MI0003644
ENSG00000207691	MI0000273
ENSG00000207692	MI0003604
ENSG00000207693	MI0003615
ENSG00000207694	MI0000437
ENSG00000207695	MI0000481
ENSG00000207696	MI0003683
ENSG00000207697	MI0003580
ENSG00000207698	MI0000090
ENSG00000207699	MI0003173
ENSG00000207700	MI0000461
ENSG00000207701	MI0003609
ENSG00000207702	MI0000287
ENSG00000207703	MI0000264
ENSG00000207704	MI0003668
ENSG00000207705	MI0000252
ENSG00000207706	MI0003154
ENSG00000207707	MI0003654
ENSG00000207708	MI0000457
ENSG00000207709	MI0000239
ENSG00000207710	MI0001519
ENSG00000207711	MI0003152
ENSG00000207712	MI0003641
ENSG00000207713	MI0000650
ENSG00000207714	MI0003591
ENSG00000207716	MI0003579
ENSG00000207717	MI0003575
ENSG00000207718	MI0000069
ENSG00000207719	MI0003637
ENSG00000207720	MI0003561
ENSG00000207721	MI0000483
ENSG00000207722	MI0003155
ENSG00000207723	MI0003182
ENSG00000207724	MI0000449
ENSG00000207725	MI0000299
ENSG00000207726	MI0003513
ENSG00000207727	MI0003625
ENSG00000207728	MI0003673
ENSG00000207729	MI0003562
ENSG00000207730	MI0000342
ENSG00000207731	MI0003193
ENSG00000207732	MI0000294
ENSG00000207733	MI0003652
ENSG00000207734	MI0003161
ENSG00000207735	MI0003164
ENSG00000207736	MI0003681
ENSG00000207737	MI0000683
ENSG00000207738	MI0003158
ENSG00000207739	MI0000295
ENSG00000207740	MI0003613
ENSG00000207741	MI0003602
ENSG00000207742	MI0000790
ENSG00000207743	MI0003135
ENSG00000207744	MI0000267
ENSG00000207745	MI0000071
ENSG00000207746	MI0003582
ENSG00000207747	MI0003171
ENSG00000207748	MI0000105
ENSG00000207749	MI0000744
ENSG00000207750	MI0003558
ENSG00000207751	MI0000748
ENSG00000207752	MI0000242
ENSG00000207753	MI0001733
ENSG00000207754	MI0003530
ENSG00000207755	MI0003187
ENSG00000207756	MI0003587
ENSG00000207757	MI0000095
ENSG00000207758	MI0003205
ENSG00000207759	MI0000289
ENSG00000207761	MI0001725
ENSG00000207762	MI0001726
ENSG00000207763	MI0003631
ENSG00000207764	MI0000451
ENSG00000207766	MI0003640
ENSG00000207767	MI0003180
ENSG00000207768	MI0000484
ENSG00000207769	MI0003594
ENSG00000207770	MI0003574
ENSG00000207771	MI0003600
ENSG00000207773	MI0003657
ENSG00000207775	MI0003593
ENSG00000207776	MI0003556
ENSG00000207777	MI0000266
ENSG00000207778	MI0000442
ENSG00000207779	MI0000438
ENSG00000207780	MI0003663
ENSG00000207781	MI0003639
ENSG00000207782	MI0000479
ENSG00000207783	MI0003570
ENSG00000207784	MI0003686
ENSG00000207785	MI0003184
ENSG00000207786	MI0000450
ENSG00000207787	MI0000100
ENSG00000207788	MI0003148
ENSG00000207789	MI0000750
ENSG00000207790	MI0000107
ENSG00000207791	MI0003138
ENSG00000207792	MI0000809
ENSG00000207793	MI0003133
ENSG00000207794	MI0001729
ENSG00000207795	MI0000681
